season,player,actual_pos,pred_pos,pred,act
2023,Dan Burn,Left-Back,Defensive Midfield,DM,LB
2023,Kieran Trippier,Right-Back,Right-Back,RB,RB
2023,Sven Botman,Centre-Back,Centre-Back,CB,CB
2023,Jacob Murphy,Right Winger,Left Winger,LW,RW
2023,Fabian Schär,Centre-Back,Defensive Midfield,DM,CB
2023,Joe Willock,Central Midfield,Right Winger,RW,CM
2023,Miguel Almirón,Right Winger,Left Winger,LW,RW
2023,Sean Longstaff,Central Midfield,Central Midfield,CM,CM
2023,Bruno Guimarães,Defensive Midfield,Central Midfield,CM,DM
2023,Joelinton,Central Midfield,Central Midfield,CM,CM
2023,Brennan Johnson,Right Winger,Left Winger,LW,RW
2023,Morgan Gibbs-White,Attacking Midfield,Attacking Midfield,AM,AM
2023,Neco Williams,Right-Back,Central Midfield,CM,RB
2023,Joe Worrall,Centre-Back,Centre-Back,CB,CB
2023,Remo Freuler,Central Midfield,Defensive Midfield,DM,CM
2023,Renan Lodi,Left-Back,Right-Back,RB,LB
2023,Taiwo Awoniyi,Centre-Forward,Centre-Forward,CF,CF
2023,Orel Mangala,Central Midfield,Defensive Midfield,DM,CM
2023,Ryan Yates,Central Midfield,Defensive Midfield,DM,CM
2023,Serge Aurier,Right-Back,Right-Back,RB,RB
2023,James Ward-Prowse,Central Midfield,Central Midfield,CM,CM
2023,Mohamed Elyounoussi,Left Winger,Right Winger,RW,LW
2023,Stuart Armstrong,Central Midfield,Right Winger,RW,CM
2023,Kyle Walker-Peters,Right-Back,Right-Back,RB,RB
2023,Adam Armstrong,Centre-Forward,Centre-Forward,CF,CF
2023,Roméo Lavia,Defensive Midfield,Defensive Midfield,DM,DM
2023,Romain Perraud,Left-Back,Central Midfield,CM,LB
2023,Che Adams,Centre-Forward,Centre-Forward,CF,CF
2023,Armel Bella Kotchap,Centre-Back,Centre-Back,CB,CB
2023,Ainsley Maitland-Niles,Right Midfield,Central Midfield,CM,RM
2023,Harry Kane,Centre-Forward,Centre-Forward,CF,CF
2023,Son Heung-min,Left Winger,Right Winger,RW,LW
2023,Pierre Højbjerg,Defensive Midfield,Central Midfield,CM,DM
2023,Ivan Perišić,Left Midfield,Right Winger,RW,LM
2023,Eric Dier,Centre-Back,Centre-Back,CB,CB
2023,Ben Davies,Left-Back,Left-Back,LB,LB
2023,Dejan Kulusevski,Right Winger,Right Winger,RW,RW
2023,Richarlison,Centre-Forward,Centre-Forward,CF,CF
2023,Cristian Romero,Centre-Back,Centre-Back,CB,CB
2023,Emerson,Right-Back,Central Midfield,CM,RB
2023,Jarrod Bowen,Right Winger,Right Winger,RW,RW
2023,Declan Rice,Defensive Midfield,Defensive Midfield,DM,DM
2023,Tomáš Souček,Defensive Midfield,Central Midfield,CM,DM
2023,Saïd Benrahma,Left Winger,Left Winger,LW,LW
2023,Michail Antonio,Centre-Forward,Centre-Forward,CF,CF
2023,Pablo Fornals,Attacking Midfield,Central Midfield,CM,AM
2023,Aaron Cresswell,Left-Back,Left-Back,LB,LB
2023,Lucas Paquetá,Attacking Midfield,Central Midfield,CM,AM
2023,Vladimír Coufal,Right-Back,Left-Back,LB,RB
2023,Thilo Kehrer,Centre-Back,Centre-Back,CB,CB
2023,Max Kilman,Centre-Back,Centre-Back,CB,CB
2023,Nélson Semedo,Right-Back,Right-Back,RB,RB
2023,Rúben Neves,Defensive Midfield,Defensive Midfield,DM,DM
2023,Matheus Nunes,Central Midfield,Central Midfield,CM,CM
2023,Adama Traoré,Right Winger,Left Winger,LW,RW
2023,Daniel Podence,Right Winger,Centre-Forward,CF,RW
2023,João Moutinho,Central Midfield,Central Midfield,CM,CM
2023,Hwang Hee-chan,Centre-Forward,Centre-Forward,CF,CF
2023,Nathan Collins,Centre-Back,Centre-Back,CB,CB
2023,Diego Costa,Centre-Forward,Centre-Forward,CF,CF
2024,Declan Rice,Defensive Midfield,Central Midfield,CM,DM
2024,William Saliba,Centre-Back,Centre-Back,CB,CB
2024,Kai Havertz,Attacking Midfield,Centre-Forward,CF,AM
2024,Bukayo Saka,Right Winger,Right Winger,RW,RW
2024,Ben White,Right-Back,Left-Back,LB,RB
2024,Gabriel Dos Santos,Centre-Back,Centre-Back,CB,CB
2024,Gabriel Martinelli,Left Winger,Left Winger,LW,LW
2024,Eddie Nketiah,Centre-Forward,Centre-Forward,CF,CF
2024,Martin Ødegaard,Attacking Midfield,Attacking Midfield,AM,AM
2024,Leandro Trossard,Left Winger,Centre-Forward,CF,LW
2024,Moussa Diaby,Right Winger,Centre-Forward,CF,RW
